Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00369535197170987,0.00197311119526583,-0.131135410064505,0,0,0,3.21173415260612,0.0098133254190903,-4.78215939458552E-06,1.35909819487235E-05,0.00453350368727512,1.06080642060923E-05,0.00687496219988205,0,0,0,0,0,0,package://legged_dm_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://legged_dm_description/meshes/base_link.STL,,0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-7;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-8;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-6;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-4;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-5;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-3;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _M300^装配体14_复件 0-1_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-4;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-3;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-7;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-8;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-6;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-5;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 00-2-7^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 001-1^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 NUC-0003^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-4;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-7;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-8;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-6;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-3;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _25MM000^装配体14_复件 0-1_0-00(2)_0-00-5;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 _0004^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 NUC--10001^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 NUC-000-11^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 NUC-000-10^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 001^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/复件 _4000MAH00^复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/复件 复件 复件 MINI-NUC000^复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 D6QLS5-_AF30^装配体15_复件 复件 0_0-00(2)_0-00-1/2^复件 D6QLS5-_AF30_装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 D6QLS5-_AF20^装配体15_复件 复件 0_0-00(2)_0-00-1/2^复件 D6QLS5-_AF20_装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 00-3-13^复件 0-1_0-00(2)_0-00-1/_000-14^复件 00-3-13_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 00-3-13^复件 0-1_0-00(2)_0-00-1/_000-15^复件 00-3-13_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _XGD0-12^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 复件 NUC-00^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/装配体14^复件 0-1_0-00(2)_0-00-1/复件 _50_65_70001^装配体14_复件 0-1_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 0-1^0-00(2)_0-00-1/复件 复件 6006^复件 0-1_0-00(2)_0-00-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
loin_yaw_Link,-2.05266622746069E-05,6.78964886152947E-07,-0.0411902501734806,0,0,0,1.18038152227661,0.00118958608069556,5.36795815201655E-09,7.60347157739549E-07,0.000532957159909341,-5.79180860490744E-10,0.00132724822967718,0,0,0,0,0,0,package://legged_dm_description/meshes/loin_yaw_Link.STL,0.854901960784314,0.674509803921569,0.541176470588235,1,0,0,0,0,0,0,package://legged_dm_description/meshes/loin_yaw_Link.STL,,0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 _000-0^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 _XGD0^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 _SGD0^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 _000^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 _MAX0001^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/DM_4340__3D20240822_1^复件 复件 0_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/DM_4340__3D20240822_1^复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 DM_IMU-V1_0^装配体15_复件 复件 0_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 复件 0^0-00(2)_0-00-1/装配体15^复件 复件 0_0-00(2)_0-00-1/复件 复件 _001^装配体15_复件 复件 0_0-00(2)_0-00-1,loin_yaw_link,yaxis,loin_yaw_joint,fixed,0.0042148,0.0028621,-0.25475,0,0,0,base_link,0,0,0,,,,,,,,,,,,
leg_l1_link,0.00352274826851429,0.0416493521091925,-8.72472027157877E-05,0,0,0,0.486132435494978,0.00023759591191634,5.43712287248543E-07,8.64692015210049E-07,0.000208165840761856,-7.47745452220174E-06,0.000274402692005613,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l1_link.STL,0.854901960784314,0.674509803921569,0.541176470588235,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l1_link.STL,,0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/_0013^复件 _0012_0-00(2)_0-00-1/装配体93^_0013_复件 _0012_0-00(2)_0-00-1/复件 R-XGD0^装配体93__0013_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/_0013^复件 _0012_0-00(2)_0-00-1/装配体93^_0013_复件 _0012_0-00(2)_0-00-1/复件 R-DGD0^装配体93__0013_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/_0013^复件 _0012_0-00(2)_0-00-1/DM_4340__3D20240822_1^_0013_复件 _0012_0-00(2)_0-00-1,leg_l1_link,paxis,leg_l1_joint,revolute,0,0.05355,-0.0515,0,0,0,loin_yaw_Link,0,1,0,28,10,-1.05,1.05,,,,,,,,
leg_l2_link,-0.0322228693907303,-2.93721270180902E-07,-0.0374348487646303,0,0,0,0.0941672541288403,7.90940691260726E-05,9.37244317778188E-09,-3.29828210427942E-06,0.000130606867250235,-2.82572593001832E-10,0.000111046190465453,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l2_link.STL,1,1,1,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l2_link.STL,,0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体3^复件 _0012_0-00(2)_0-00-1/复件 (2) ^复件 装配体3_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体3^复件 _0012_0-00(2)_0-00-1/复件 20001^复件 装配体3_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体3^复件 _0012_0-00(2)_0-00-1/装配体2^复件 装配体3_复件 _0012_0-00(2)_0-00-1/复件 复件 复件 r-joint4后链接垫块^装配体2_复件 装配体3_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体3^复件 _0012_0-00(2)_0-00-1/复件 left_u^复件 装配体3_复件 _0012_0-00(2)_0-00-1,leg_l2_link,raxis,leg_l2_joint,revolute,0.03105,0.042,0,0,0,0,leg_l1_link,1,0,0,28,10,-0.52,0.785,,,,,,,,
leg_l3_link,-9.53698539588607E-05,0.00168151919689676,-0.0703911617465365,0,0,0,0.915196577978061,0.000966480491295822,-1.98277921794083E-07,-3.15843175171916E-06,0.000863245495943465,1.69569838281971E-05,0.000416847711860175,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l3_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l3_link.STL,,0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体4^复件 _0012_0-00(2)_0-00-1/复件 DM_4340__3D20240822_1^复件 装配体4_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体4^复件 _0012_0-00(2)_0-00-1/复件 DM_4340__3D20240822_1^复件 装配体4_复件 _0012_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体4^复件 _0012_0-00(2)_0-00-1/装配体94^复件 装配体4_复件 _0012_0-00(2)_0-00-1/复件 _YGD000^复件 装配体4_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 装配体4^复件 _0012_0-00(2)_0-00-1/装配体94^复件 装配体4_复件 _0012_0-00(2)_0-00-1/复件 _ZGD000^复件 装配体4_复件 _0012_0-00(2)_0-00-1,leg_l3_link,yaxis,leg_l3_joint,revolute,-0.03105,0,-0.07405,0,0,0,leg_l2_link,0,0,1,28,10,-0.52,0.785,,,,,,,,
leg_l4_link,0.000226690289719212,-0.033574802370849,-0.0804100742996477,0,0,0,0.462211498474346,0.000653633391906401,4.05411844629856E-08,3.94729662467917E-07,0.00071082914979857,-3.98679491043422E-07,0.000154241661985016,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l4_link.STL,0.854901960784314,0.674509803921569,0.541176470588235,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l4_link.STL,,0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/装配体86^复件 00-1_复件 _0012_0-00(2)_0-00-1/复件 _ZGD00-4^复件 00-1_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/装配体86^复件 00-1_复件 _0012_0-00(2)_0-00-1/复件 _YGD00-6^复件 00-1_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/复件 DM_4340__3D20240822_1^复件 00-1_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/装配体86^复件 00-1_复件 _0012_0-00(2)_0-00-1/复件 000-5^复件 00-1_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/复件 复件 复件 复件 30001^复件 00-1_复件 _0012_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-1^复件 _0012_0-00(2)_0-00-1/复件 装配体1^复件 00-1_复件 _0012_0-00(2)_0-00-1/复件 复件 _300^复件 00-1_复件 _0012_0-00(2)_0-00-1,leg_l4_link,paxis,leg_l4_joint,revolute,0,0.03105,-0.11705,0,0,0,leg_l3_link,0,1,0,28,10,-0.3,2.3562,,,,,,,,
leg_l5_link,0.0151196049575093,-0.0114995738038433,-0.0111228853133886,0,0,0,0.16685647117147,5.89152560999021E-05,1.35246888440855E-09,-2.45113328010841E-05,0.000364744483632693,-3.74611690172001E-11,0.000388553312847285,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l5_link.STL,0.854901960784314,0.674509803921569,0.541176470588235,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_l5_link.STL,,0-00(2)^0-00-1/复件 _0012^0-00(2)_0-00-1/复件 00-2^复件 _0012_0-00(2)_0-00-1/装配体95^复件 00-2_复件 _0012_0-00(2)_0-00-1/00-3^复件 00-2_复件 _0012_0-00(2)_0-00-1,leg_l5_link,paxis,leg_l5_joint,revolute,-1.6188E-05,-0.01955,-0.20287,0,0,0,leg_l4_link,0,1,0,28,10,-1.047,0.3,,,,,,,,
leg_r1_link,0.00352279852029727,-0.0416687013762886,-9.53542525129102E-05,0,0,0,0.485886185475306,0.000237193028086049,-5.55146877085841E-07,8.65101624177683E-07,0.000208112258749486,7.47073271135463E-06,0.000274016336377994,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r1_link.STL,,0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/_0009^复件 _0008_0-00(2)_0-00-1/DM_4340__3D20240822_1^_0009_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/_0009^复件 _0008_0-00(2)_0-00-1/装配体87^_0009_复件 _0008_0-00(2)_0-00-1/R-XGD-00^_0009_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/_0009^复件 _0008_0-00(2)_0-00-1/装配体87^_0009_复件 _0008_0-00(2)_0-00-1/R-DGD-00^_0009_复件 _0008_0-00(2)_0-00-1,leg_r1_link,paxis,leg_r1_joint,revolute,0,-0.05355,-0.0515,0,0,0,loin_yaw_Link,0,1,0,28,10,-1.05,1.05,,,,,,,,
leg_r2_link,-0.032222869389427,-2.93721173869055E-07,-0.0373857130731157,0,0,0,0.0941672541288398,7.90940691258413E-05,9.37244064633019E-09,-3.29828210316474E-06,0.000130606867250235,-2.82572456757837E-10,0.000111046190465682,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r2_link.STL,1,1,1,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r2_link.STL,,0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体1^复件 _0008_0-00(2)_0-00-1/连接^复件 装配体1_复件 _0008_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体1^复件 _0008_0-00(2)_0-00-1/复件 20001^复件 装配体1_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体1^复件 _0008_0-00(2)_0-00-1/left_u^复件 装配体1_复件 _0008_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体1^复件 _0008_0-00(2)_0-00-1/装配体8^复件 装配体1_复件 _0008_0-00(2)_0-00-1/复件 复件 r-joint4后链接垫块^装配体8_复件 装配体1_复件 _0008_0-00(2)_0-00-1,leg_r2_link,raxis,leg_r2_joint,revolute,0.03105,-0.042,0,0,0,0,leg_r1_link,1,0,0,28,10,-0.52,0.785,,,,,,,,
leg_r3_link,0.00018753836364941,-0.00178925307214238,-0.0705500513586485,0,0,0,0.918305861702278,0.000966938787088841,1.76014342080823E-07,2.30577331415058E-06,0.000864006124600629,-1.6981709297163E-05,0.000417165316414606,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r3_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://legged_dm_description/meshes/leg_r3_link.STL,,0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体2^复件 _0008_0-00(2)_0-00-1/复件 DM_4340__3D20240822_1^复件 装配体2_复件 _0008_0-00(2)_0-00-2;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体2^复件 _0008_0-00(2)_0-00-1/复件 DM_4340__3D20240822_1^复件 装配体2_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 _100-1^复件 _0008_0-00(2)_0-00-2/复件 复件 30001^复件 _100-1_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体2^复件 _0008_0-00(2)_0-00-1/装配体88^复件 装配体2_复件 _0008_0-00(2)_0-00-1/复件 复件 _ZGD00^装配体88_复件 装配体2_复件 _0008_0-00(2)_0-00-1;0-00(2)^0-00-1/复件 _0008^0-00(2)_0-00-1/复件 装配体2^复件 _0008_0-00(2)_0-00-1/装配体88^复件 装配体2_复件 _0008_0-00(2)_0-00-1/复件 _YGD00^复件 装配体2_复件 _0008_0-00(2)_0-00-1,leg_r3_link,yaxis,leg_r3_joint,revolute,-0.03105,0,-0.07405,0,0,0,leg_r2_link,0,0,1,28,10,-0.785,0.52,,,,,,,,
